	ParticipantId	PointClick_task_time_	PointClick_mouse_dist_	PointClick_speed_mean_	PointClick_speed_sd_	PointClick_pos_accel_mean	PointClick_pos_accel_sd	PointClick_neg_accel_mean	PointClick_neg_accel_sd	PointClick_pos_jerk_mean	PointClick_pos_jerk_sd	PointClick_neg_jerk_mean	PointClick_neg_jerk_sd	PointClick_pos_snap_mean	PointClick_pos_snap_sd	PointClick_neg_snap_mean	PointClick_neg_snap_sd	PointClick_angle_mean_	PointClick_angle_sd_	PointClick_x_flips_	PointClick_y_flips_	PointClick_total_dev_ideal_line_	PointClick_mean_dev_ideal_line_	PointClick_sd_dev_ideal_line_	PointClick_num_trials	DragDrop_task_time_	DragDrop_mouse_dist_	DragDrop_speed_mean_	DragDrop_speed_sd_	DragDrop_pos_accel_mean	DragDrop_pos_accel_sd	DragDrop_neg_accel_mean	DragDrop_neg_accel_sd	DragDrop_pos_jerk_mean	DragDrop_pos_jerk_sd	DragDrop_neg_jerk_mean	DragDrop_neg_jerk_sd	DragDrop_pos_snap_mean	DragDrop_pos_snap_sd	DragDrop_neg_snap_mean	DragDrop_neg_snap_sd	DragDrop_angle_mean_	DragDrop_angle_sd_	DragDrop_x_flips_	DragDrop_y_flips_	DragDrop_total_dev_ideal_line_	DragDrop_mean_dev_ideal_line_	DragDrop_sd_dev_ideal_line_	DragDrop_num_trials	DragDrop_num_drags	Drawing_task_time_	Drawing_mouse_dist_	Drawing_speed_mean_	Drawing_speed_sd_	Drawing_pos_accel_mean	Drawing_pos_accel_sd	Drawing_neg_accel_mean	Drawing_neg_accel_sd	Drawing_pos_jerk_mean	Drawing_pos_jerk_sd	Drawing_neg_jerk_mean	Drawing_neg_jerk_sd	Drawing_pos_snap_mean	Drawing_pos_snap_sd	Drawing_neg_snap_mean	Drawing_neg_snap_sd	Drawing_angle_mean_	Drawing_angle_sd_	Drawing_x_flips_	Drawing_y_flips_	Drawing_total_dev_ideal_line_	Drawing_mean_dev_ideal_line_	Drawing_sd_dev_ideal_line_	Drawing_num_drawings	Drawing_par_index	condition	FollowBox_mouse_dist_	FollowBox_speed_mean_	FollowBox_speed_sd_	FollowBox_pos_accel_mean	FollowBox_pos_accel_sd	FollowBox_neg_accel_mean	FollowBox_neg_accel_sd	FollowBox_pos_jerk_mean	FollowBox_pos_jerk_sd	FollowBox_neg_jerk_mean	FollowBox_neg_jerk_sd	FollowBox_pos_snap_mean	FollowBox_pos_snap_sd	FollowBox_neg_snap_mean	FollowBox_neg_snap_sd	FollowBox_angle_mean_	FollowBox_angle_sd_	FollowBox_x_flips_	FollowBox_y_flips_	FollowBox_in_box_ratio	LoadingTask_mouse_dist_	LoadingTask_speed_mean_	LoadingTask_speed_sd_	LoadingTask_pos_accel_mean	LoadingTask_pos_accel_sd	LoadingTask_neg_accel_mean	LoadingTask_neg_accel_sd	LoadingTask_pos_jerk_mean	LoadingTask_pos_jerk_sd	LoadingTask_neg_jerk_mean	LoadingTask_neg_jerk_sd	LoadingTask_pos_snap_mean	LoadingTask_pos_snap_sd	LoadingTask_neg_snap_mean	LoadingTask_neg_snap_sd	LoadingTask_angle_mean_	LoadingTask_angle_sd_	LoadingTask_x_flips_	LoadingTask_y_flips_	LoadingTask_movement	PatternTyping_Writing_time_mean	PatternTyping_Writing_time_sd	PatternTyping_Chars_tpd_mean	PatternTyping_Chars_tpd_sd	PatternTyping_Time_p_Keystr_mean	PatternTyping_Time_p_Keystr_sd	PatternTyping_Time_p_keystr_no_Bcksp_mean	PatternTyping_Time_p_keystr_no_Bcksp_sd	PatternTyping_Corr_time_mean	PatternTyping_Corr_time_sd	PatternTyping_time_spent_corr_mean	PatternTyping_time_spent_corr_sd	PatternTyping_Bckspce_presses_mean	PatternTyping_Bckspce_presses_sd	PatternTyping_Dwelltime_Mean_mean	PatternTyping_Dwelltime_Mean_sd	PatternTyping_Dwelltime_Median_mean	PatternTyping_Dwelltime_Median_sd	PatternTyping_Dwelltime_SD_mean	PatternTyping_Dwelltime_SD_sd	PatternTyping_1_keyspushed_mean	PatternTyping_1_keyspushed_sd	PatternTyping_0_keyspushed_mean	PatternTyping_0_keyspushed_sd	PatternTyping_Latency_mean_mean	PatternTyping_Latency_mean_sd	PatternTyping_Latency_median_mean	PatternTyping_Latency_median_sd	PatternTyping_latency_std_mean	PatternTyping_latency_std_sd	PatternTyping_down_down_mean_mean	PatternTyping_down_down_mean_sd	PatternTyping_down_down_median_mean	PatternTyping_down_down_median_sd	PatternTyping_down_down_sd_mean	PatternTyping_down_down_sd_sd	PatternTyping_up_up_mean_mean	PatternTyping_up_up_mean_sd	PatternTyping_up_up_median_mean	PatternTyping_up_up_median_sd	PatternTyping_up_up_sd_mean	PatternTyping_up_up_sd_sd	PatternTyping_writing_trials	PatternTyping_incomplete_trials
101	uQ5ly8q3nPQZHi56WJFlw0Y3A4E2_LS	25635.0	8011.169	312.509	465.681	5.13	9.67	-4.686	8.012	0.043	0.077	-0.042	0.08	0.376	0.604	-0.405	0.81	7.67	18.315	33.0	25.0	12857.042	10.634	12.137	25.0	31845.0	19896.332	624.787	882.278	9.619	17.237	-8.409	14.787	0.076	0.142	-0.077	0.148	0.623	1.008	-0.746	1.559	7.415	15.786	28.0	27.0	16486.21	10.629	12.089	14.0	16.0	48630.0	7882.425	162.09	346.713	2.988	6.334	-3.015	6.587	0.034	0.056	-0.034	0.054	0.281	0.415	-0.308	0.54	9.233	16.826	25.0	22.0	6404.773	2.569	2.066	11.0	51.0	1.0	8905.868	286.132	175.098	4.825	5.497	-4.621	4.629	0.046	0.052	-0.047	0.056	0.391	0.388	-0.464	0.546	2.025	11.144	9.0	19.0	0.861	439.538	88.261	305.953	1.739	6.873	-1.85	11.267	0.018	0.12	-0.019	0.106	0.145	0.705	-0.176	1.21	2.758	12.377	2.0	2.0	1.0	2.916	0.295	6.0	0.0	0.486	0.049	0.486	0.049	0.0	0.0	0.0	0.0	0.0	0.0	71.143	2.458	71.286	6.408	7.753	2.288	0.123	0.012	0.877	0.012	511.971	58.217	453.286	69.483	229.843	59.066	583.114	58.968	526.0	68.109	228.552	61.979	621.714	68.015	586.214	65.642	238.422	70.809	7.0	0.0
102	vpCbHTYXRYPnqQXV9MqE8MFcZsy2_HS	24210.0	10264.47	423.976	809.588	8.931	20.967	-8.375	19.267	0.061	0.127	-0.06	0.13	0.55	1.063	-0.689	1.615	8.112	20.365	45.0	34.0	21119.621	18.207	32.969	25.0	50070.0	35783.157	714.663	1052.125	12.304	22.673	-10.983	20.868	0.084	0.162	-0.083	0.156	0.722	1.267	-0.891	1.838	8.084	18.009	71.0	60.0	29855.624	19.212	35.255	14.0	26.0	47280.0	12711.403	268.854	572.829	5.312	13.068	-5.453	13.132	0.048	0.098	-0.047	0.098	0.416	0.75	-0.475	1.101	9.456	17.294	41.0	38.0	6445.649	2.97	2.718	11.0	52.0	0.0	8596.593	276.063	259.349	5.636	7.185	-5.52	6.856	0.044	0.057	-0.045	0.058	0.39	0.45	-0.482	0.62	3.503	13.089	10.0	28.0	0.739	237.571	70.08	151.814	1.989	5.811	-1.803	4.521	0.02	0.051	-0.02	0.062	0.171	0.391	-0.213	0.62	6.877	22.586	5.0	3.0	1.0	3.764	0.945	6.571	1.4	0.57	0.042	0.543	0.068	0.39	0.955	0.065	0.159	0.286	0.7	84.121	14.992	81.857	16.137	15.201	5.534	0.126	0.026	0.874	0.026	592.403	56.339	522.857	118.696	358.806	80.305	676.524	48.639	592.143	113.097	362.356	81.015	741.696	61.135	725.929	104.176	366.011	93.989	7.0	0.0
103	vpCbHTYXRYPnqQXV9MqE8MFcZsy2_LS	26835.0	10044.88	374.32	740.056	7.758	17.186	-7.559	17.55	0.054	0.138	-0.054	0.131	0.472	0.917	-0.582	1.596	8.412	20.365	58.0	36.0	16049.534	11.622	15.526	25.0	46755.0	37233.088	797.624	1260.106	14.947	27.291	-13.69	25.24	0.099	0.199	-0.097	0.2	0.817	1.373	-1.123	2.378	8.993	18.699	80.0	73.0	49494.862	26.369	66.652	14.0	23.0	50025.0	15730.394	314.451	687.357	5.951	14.898	-5.953	17.205	0.052	0.129	-0.051	0.118	0.438	0.973	-0.517	1.4	8.261	16.387	43.0	50.0	9940.524	4.094	5.215	11.0	52.0	1.0	9837.078	315.898	460.202	5.716	9.994	-5.748	9.829	0.046	0.081	-0.046	0.086	0.385	0.578	-0.48	0.92	3.416	13.561	17.0	23.0	0.516	1.953	7.659	8.358	0.002	0.002	-0.219	0.454	0.002	0.004	-0.001	0.001	0.009	0.021	-0.019	0.037	0.0	0.0	0.0	0.0	1.0	3.749	0.592	6.571	1.4	0.577	0.054	0.542	0.124	0.424	1.038	0.084	0.206	0.286	0.7	94.429	14.907	92.429	14.927	13.552	3.5	0.138	0.017	0.862	0.017	591.314	65.221	463.143	126.518	400.122	119.428	685.743	74.293	545.143	129.789	403.148	120.376	760.214	84.817	649.143	131.79	410.023	124.27	7.0	0.0
104	wEysyWhsaLU5fkKs77uwhTJgmT72_HS	20535.0	9474.352	461.376	703.313	9.082	17.78	-7.94	12.748	0.062	0.104	-0.061	0.118	0.552	0.878	-0.674	1.264	8.642	19.0	37.0	36.0	16751.637	16.154	18.882	25.0	46980.0	38445.604	818.34	1199.395	15.394	27.699	-13.548	23.546	0.107	0.215	-0.106	0.21	0.897	1.425	-1.157	2.424	8.497	19.284	71.0	55.0	21340.917	15.543	18.814	14.0	28.0	28590.0	8799.617	307.787	456.874	5.798	12.77	-5.644	10.515	0.052	0.095	-0.05	0.104	0.438	0.723	-0.53	1.128	7.16	18.34	25.0	28.0	6104.08	5.383	6.674	11.0	53.0	0.0	8950.309	287.838	196.249	5.629	6.091	-5.446	5.868	0.048	0.054	-0.047	0.055	0.42	0.404	-0.489	0.587	3.088	12.543	9.0	32.0	0.828	60.513	41.165	96.123	0.815	3.261	-0.689	2.062	0.01	0.033	-0.009	0.034	0.073	0.244	-0.121	0.341	2.683	10.953	1.0	0.0	1.0	3.612	0.759	6.0	0.0	0.602	0.127	0.602	0.127	0.0	0.0	0.0	0.0	0.0	0.0	69.971	9.154	72.0	9.71	10.688	5.16	0.102	0.026	0.898	0.026	652.514	154.282	537.429	167.358	370.054	123.925	722.486	151.885	603.143	174.847	371.361	123.069	779.893	177.96	777.071	187.34	384.346	130.133	7.0	0.0
105	wEysyWhsaLU5fkKs77uwhTJgmT72_LS	21795.0	9453.199	433.732	705.936	8.56	17.33	-7.566	13.99	0.059	0.1	-0.059	0.113	0.516	0.896	-0.64	1.213	8.515	18.748	35.0	34.0	18738.51	16.836	20.922	25.0	44025.0	35584.454	808.278	1201.554	14.834	27.183	-12.734	22.125	0.102	0.198	-0.1	0.197	0.843	1.39	-1.069	2.217	8.152	19.267	56.0	53.0	33739.612	20.699	44.807	14.0	25.0	29670.0	8903.497	300.084	391.657	4.953	8.812	-4.724	8.519	0.049	0.082	-0.048	0.072	0.401	0.586	-0.474	0.816	8.008	18.005	29.0	34.0	4243.864	3.513	4.012	11.0	53.0	1.0	8820.339	283.932	191.056	5.131	5.311	-5.278	5.671	0.046	0.05	-0.044	0.048	0.392	0.363	-0.457	0.53	3.021	10.78	8.0	34.0	0.823	145.704	25.495	155.934	0.651	5.538	-0.632	3.188	0.004	0.026	-0.004	0.035	0.048	0.356	-0.049	0.295	0.793	6.555	2.0	0.0	1.0	3.756	1.027	6.0	0.0	0.626	0.171	0.626	0.171	0.0	0.0	0.0	0.0	0.0	0.0	71.857	3.263	73.286	6.67	12.459	3.443	0.102	0.025	0.898	0.025	679.4	206.222	619.0	262.712	320.066	185.023	751.257	205.485	679.714	263.098	321.697	186.162	815.643	254.69	782.643	230.764	309.923	182.542	7.0	0.0
106	y9wb8g3CMNgMPA49MUvdBMRC7VC2_HS	20490.0	8748.098	426.945	714.234	7.863	16.656	-7.327	13.124	0.054	0.096	-0.053	0.102	0.487	0.819	-0.57	1.125	9.544	20.841	41.0	35.0	11332.857	10.783	12.711	25.0	29145.0	21601.926	741.188	1247.445	14.271	26.577	-13.257	23.769	0.088	0.194	-0.085	0.194	0.737	1.245	-1.015	2.31	8.025	17.532	42.0	35.0	23735.253	16.302	20.015	14.0	15.0	30345.0	6124.453	201.827	171.896	3.237	4.109	-3.123	4.098	0.036	0.046	-0.038	0.048	0.299	0.375	-0.341	0.431	6.363	12.537	9.0	16.0	6519.248	4.155	3.723	11.0	54.0	0.0	9193.601	295.662	216.483	4.986	6.042	-5.021	5.485	0.044	0.053	-0.044	0.055	0.38	0.39	-0.431	0.57	2.068	11.002	9.0	21.0	0.755	20.947	3.744	8.211	0.068	0.362	-0.059	0.312	0.001	0.003	-0.001	0.004	0.008	0.029	-0.008	0.036	1.069	7.43	0.0	0.0	1.0	2.473	0.543	6.0	0.0	0.412	0.09	0.412	0.09	0.0	0.0	0.0	0.0	0.0	0.0	78.379	18.999	76.786	15.151	16.156	6.153	0.169	0.045	0.83	0.048	398.621	68.722	286.714	117.122	341.915	116.875	464.943	75.431	350.143	111.526	340.102	116.033	510.498	125.602	425.786	149.415	335.392	155.394	7.0	0.0
107	y9wb8g3CMNgMPA49MUvdBMRC7VC2_LS	20520.0	8931.031	435.235	707.744	9.294	16.58	-8.86	16.399	0.062	0.133	-0.063	0.117	0.503	0.813	-0.759	1.588	8.187	17.795	34.0	29.0	14322.482	13.348	18.188	25.0	31230.0	20554.76	658.174	1047.257	11.765	21.97	-10.829	20.34	0.079	0.184	-0.079	0.171	0.669	1.166	-0.867	2.023	7.68	17.684	28.0	37.0	19076.567	12.331	12.554	14.0	16.0	41385.0	8750.849	211.45	248.826	3.241	5.223	-3.196	5.823	0.034	0.051	-0.036	0.052	0.287	0.407	-0.327	0.525	6.473	14.972	29.0	30.0	10067.368	4.443	3.761	11.0	54.0	1.0	9397.389	302.215	194.667	4.739	4.799	-4.752	5.263	0.044	0.051	-0.044	0.047	0.371	0.368	-0.435	0.502	1.968	11.354	9.0	15.0	0.844	39.952	9.153	16.053	0.159	0.579	-0.151	0.612	0.002	0.007	-0.002	0.006	0.021	0.054	-0.017	0.06	2.794	11.262	0.0	0.0	1.0	2.882	0.778	6.0	0.0	0.48	0.13	0.48	0.13	0.0	0.0	0.0	0.0	0.0	0.0	101.607	17.45	105.357	20.304	21.043	6.991	0.195	0.045	0.796	0.047	418.571	81.07	338.857	118.535	372.125	123.699	478.229	61.574	388.429	107.55	370.248	114.884	598.707	134.147	481.643	172.323	418.007	135.742	7.0	0.0
108	zH98oKnznGRDas55OgA25hFvTnO2_HS	22800.0	8999.618	394.72	659.165	7.724	15.361	-7.373	13.58	0.052	0.091	-0.052	0.106	0.47	0.744	-0.586	1.212	8.486	20.494	41.0	32.0	13511.616	11.568	14.092	25.0	38085.0	26127.306	686.026	877.114	11.344	17.928	-10.212	16.645	0.084	0.155	-0.086	0.154	0.704	1.015	-0.901	1.762	7.957	17.633	46.0	45.0	20672.568	13.26	17.498	14.0	20.0	39165.0	7615.717	194.452	215.307	3.313	5.122	-3.262	4.854	0.036	0.049	-0.035	0.046	0.301	0.365	-0.333	0.492	8.293	16.593	25.0	26.0	5340.985	2.757	2.23	11.0	55.0	0.0	9105.359	292.26	227.019	5.027	6.559	-5.176	6.077	0.045	0.051	-0.044	0.054	0.391	0.422	-0.462	0.558	1.736	11.232	8.0	17.0	0.774	57.63	12.082	48.443	0.231	1.143	-0.271	1.143	0.003	0.01	-0.003	0.012	0.026	0.097	-0.027	0.107	1.594	10.286	3.0	0.0	1.0	3.097	0.451	6.0	0.0	0.516	0.075	0.516	0.075	0.0	0.0	0.0	0.0	0.0	0.0	99.886	3.331	99.857	3.907	14.729	8.586	0.165	0.029	0.835	0.029	519.486	93.029	511.714	106.327	226.495	58.495	619.371	90.162	599.571	91.939	232.692	54.023	646.25	98.174	627.5	111.757	224.581	64.184	7.0	0.0
109	zH98oKnznGRDas55OgA25hFvTnO2_LS	21795.0	8976.604	411.865	702.226	8.518	17.849	-8.224	17.077	0.059	0.115	-0.058	0.111	0.533	0.88	-0.658	1.459	8.303	19.704	42.0	36.0	15226.444	13.487	18.229	25.0	30720.0	21626.396	703.984	959.553	11.417	20.849	-10.96	19.595	0.088	0.176	-0.086	0.182	0.728	1.232	-0.944	2.019	7.622	16.432	28.0	39.0	17997.485	12.128	11.606	14.0	16.0	48885.0	9890.834	202.329	492.536	3.912	9.837	-3.951	10.934	0.039	0.087	-0.038	0.085	0.327	0.549	-0.372	0.968	8.416	16.047	28.0	36.0	7781.801	3.17	2.891	11.0	55.0	1.0	9324.395	299.29	215.828	5.053	5.791	-5.106	5.929	0.046	0.054	-0.046	0.054	0.39	0.394	-0.467	0.583	2.144	11.947	9.0	21.0	0.809	82.343	20.952	53.601	0.659	3.183	-0.657	3.065	0.009	0.041	-0.009	0.041	0.078	0.279	-0.082	0.41	5.984	20.482	1.0	2.0	1.0	3.376	0.665	6.286	0.7	0.538	0.097	0.511	0.121	0.264	0.647	0.063	0.155	0.143	0.35	108.147	7.548	108.714	8.746	19.806	10.133	0.171	0.025	0.828	0.026	533.086	112.735	459.714	92.299	306.422	71.078	641.233	117.744	564.429	90.771	312.097	67.058	685.857	125.884	628.429	145.311	309.878	63.459	7.0	0.0
110	zf3H80XYGSf9U3pZM5xxOm69qTT2_HS	27645.0	9536.944	344.979	645.728	7.669	18.052	-7.792	16.606	0.057	0.138	-0.056	0.138	0.517	1.025	-0.646	1.653	9.51	22.395	67.0	32.0	19215.335	14.815	17.487	25.0	37635.0	23857.244	633.911	1014.525	12.083	23.47	-11.649	23.359	0.083	0.174	-0.083	0.175	0.73	1.325	-0.943	2.028	7.971	17.015	46.0	37.0	24747.114	14.819	18.11	14.0	18.0	40380.0	6695.43	165.811	203.73	3.29	5.446	-3.312	5.626	0.034	0.045	-0.033	0.046	0.29	0.38	-0.33	0.476	8.077	16.299	19.0	16.0	7375.59	3.439	2.947	11.0	56.0	0.0	8639.451	277.841	290.766	6.197	8.399	-6.786	9.733	0.047	0.065	-0.048	0.06	0.449	0.531	-0.55	0.746	2.716	12.106	8.0	16.0	0.764	440.159	79.739	183.122	2.1	6.319	-1.973	5.556	0.017	0.036	-0.017	0.042	0.157	0.379	-0.197	0.473	7.724	18.536	9.0	3.0	1.0	4.3	0.396	6.0	0.0	0.717	0.066	0.717	0.066	0.0	0.0	0.0	0.0	0.0	0.0	64.229	4.315	63.143	4.969	6.649	2.171	0.075	0.01	0.925	0.01	795.857	79.433	687.714	160.066	478.754	140.45	860.086	79.175	748.286	159.085	481.471	140.907	855.393	118.353	779.357	108.059	477.266	200.041	7.0	0.0
111	zf3H80XYGSf9U3pZM5xxOm69qTT2_LS	24660.0	8310.821	337.016	668.518	7.408	16.871	-7.109	15.401	0.05	0.102	-0.053	0.119	0.483	0.927	-0.571	1.303	8.549	20.517	59.0	32.0	14932.483	12.27	14.616	23.0	47340.0	30314.869	640.365	1076.657	13.471	27.109	-12.957	23.889	0.089	0.184	-0.093	0.207	0.803	1.389	-1.073	2.363	9.3	19.067	68.0	53.0	24265.937	15.157	16.329	14.0	22.0	52605.0	6434.339	122.314	108.233	2.633	3.413	-2.634	3.367	0.028	0.036	-0.029	0.036	0.238	0.273	-0.277	0.363	8.268	16.24	21.0	20.0	9929.563	3.344	2.835	11.0	56.0	1.0	8479.55	272.698	280.652	6.176	7.659	-6.468	8.657	0.046	0.058	-0.045	0.056	0.415	0.466	-0.547	0.692	2.907	12.242	9.0	21.0	0.744	22.822	5.829	18.145	0.124	0.712	-0.105	0.742	0.001	0.007	-0.002	0.007	0.013	0.062	-0.016	0.072	0.519	4.591	0.0	0.0	1.0	4.411	2.365	6.571	1.4	0.64	0.183	0.569	0.114	0.851	2.085	0.085	0.209	0.286	0.7	68.495	4.591	67.571	5.753	6.496	2.465	0.097	0.027	0.903	0.027	687.041	195.89	571.429	127.553	464.662	290.183	755.537	195.97	637.429	126.079	467.106	289.141	741.732	230.527	614.929	149.3	466.192	326.537	7.0	0.0
112	zoCupEvJwahE0hRlqKWLyP8TRrJ2_HS	25710.0	8817.167	342.947	541.075	6.965	13.952	-6.404	11.914	0.054	0.098	-0.054	0.103	0.455	0.765	-0.581	1.151	8.987	18.976	44.0	36.0	16690.094	11.688	13.959	25.0	38310.0	26533.604	692.603	1198.835	12.458	29.818	-11.829	26.995	0.093	0.251	-0.094	0.252	0.77	1.59	-0.997	2.976	8.303	17.34	55.0	46.0	24346.177	13.976	17.449	14.0	19.0	51120.0	8640.398	169.022	252.482	3.131	6.096	-3.114	5.45	0.033	0.052	-0.034	0.056	0.28	0.424	-0.322	0.534	7.73	16.015	27.0	32.0	8821.267	3.781	3.403	11.0	57.0	0.0	9001.057	289.47	175.713	4.046	4.167	-4.177	4.545	0.044	0.046	-0.043	0.045	0.363	0.341	-0.414	0.443	2.905	10.699	9.0	27.0	0.693	290.832	53.858	276.552	0.61	3.324	-0.787	5.961	0.007	0.049	-0.006	0.032	0.051	0.346	-0.057	0.378	1.792	11.945	2.0	3.0	1.0	3.552	1.019	6.143	0.35	0.577	0.161	0.577	0.161	0.0	0.0	0.0	0.0	0.0	0.0	69.995	11.369	68.429	11.599	10.941	7.129	0.11	0.036	0.89	0.036	619.471	193.111	579.286	239.486	307.964	137.211	689.467	192.302	651.786	231.352	308.943	133.648	733.607	239.167	705.0	256.522	292.831	147.254	7.0	0.0
113	zoCupEvJwahE0hRlqKWLyP8TRrJ2_LS	24690.0	9050.408	366.562	542.541	7.034	12.265	-6.518	12.076	0.051	0.099	-0.051	0.097	0.451	0.685	-0.551	1.138	8.686	17.76	37.0	36.0	18644.27	13.872	15.74	25.0	36510.0	24910.827	682.301	1123.958	11.584	22.559	-10.909	20.664	0.083	0.17	-0.082	0.167	0.676	1.144	-0.898	1.95	8.403	17.384	44.0	45.0	25730.669	15.082	20.098	14.0	18.0	58140.0	10996.558	189.139	378.386	3.92	9.161	-3.83	8.645	0.038	0.083	-0.039	0.079	0.319	0.598	-0.377	0.837	9.479	16.203	35.0	42.0	9523.067	3.287	2.57	11.0	57.0	1.0	9212.235	296.261	211.184	4.294	5.104	-4.258	5.022	0.044	0.052	-0.046	0.053	0.365	0.39	-0.43	0.528	3.296	11.975	10.0	34.0	0.705	16.176	4.456	15.666	0.1	0.66	-0.092	0.695	0.001	0.007	-0.001	0.005	0.009	0.048	-0.011	0.075	1.086	7.096	0.0	1.0	1.0	3.59	1.103	6.0	0.0	0.598	0.184	0.598	0.184	0.0	0.0	0.0	0.0	0.0	0.0	65.4	7.331	65.143	5.383	8.009	3.099	0.1	0.029	0.9	0.029	652.6	223.168	618.143	350.55	398.186	135.274	718.0	220.501	687.429	349.56	395.864	133.232	739.143	191.444	677.071	225.015	419.985	142.572	7.0	0.0
